Algorithm,Board_Size,reaction_time,nodes,AgentWin,Depth
expt,4 X 4,131.1960769,356.0769231,1,1
expt,4 X 4,193.7043846,562.9230769,1,1
expt,4 X 4,123.9824167,331,0,1
expt,4 X 4,243.0705,712.9166667,1,1
expt,4 X 4,348.717125,1070.0625,0,1
expt,4 X 4,1901.233067,6179.733333,1,2
expt,4 X 4,2696.3668,8742.6,1,2
expt,4 X 4,1903.360857,6178.142857,0,2
expt,4 X 4,1934.674429,6236.5,1,2
expt,4 X 4,1687.691357,5365.571429,1,2
expt,4 X 4,689.4238125,2176,0,2
expt,4 X 4,240.5476923,723.3846154,1,2
expt,4 X 4,2464.648312,8012,1,2
expt,4 X 4,2584.4858,8373.4,1,2
expt,4 X 4,176.6363571,503.5714286,0,2
expt,4 X 4,126.7978462,340.9230769,1,2
expt,4 X 4,122.3383333,331.5,1,2
expt,4 X 4,818.3824,2639.666667,1,2
expcal,3 X 3,110.7398571,66.71428571,1,1
expcal,3 X 3,112.8942,98,0,1
expcal,3 X 3,117.4982,98,0,1
expcal,3 X 3,117.8142,100.8,0,1
expcal,3 X 3,116.1745,87.83333333,-1,1
expcal,3 X 3,117.1261667,87.33333333,-1,1
expcal,3 X 3,114.2374286,86.14285714,1,1
expcal,3 X 3,119.7865,97,0,1
expcal,3 X 3,114.2205,85,-1,1
expcal,3 X 3,122.9711667,104.5,-1,1
expcal,3 X 3,119.6176,77.2,0,1
expcal,3 X 3,121.5276667,87.83333333,-1,1
expcal,3 X 3,126.5908333,106.8333333,-1,1
expcal,3 X 3,123.3822,103.6,0,2
expcal,3 X 3,127.674,99.75,0,2
expcal,3 X 3,125.344,90,0,2
expcal,3 X 3,126.7448,106.8,0,2
expcal,3 X 3,127.65075,103.5,0,2
expcal,3 X 3,128.159,97.5,0,2
expcal,3 X 3,128.617,100.8,0,2
expcal,3 X 3,128.269,90.4,0,2
expcal,3 X 3,128.1675,84.33333333,-1,2
expcal,3 X 3,133.5205,113.5,0,2
expcal,3 X 3,129.65575,90,0,2
expcal,3 X 3,133.0638333,98.5,-1,2
expcal,4 X 4,441.2858182,702.4545455,0,1
expcal,4 X 4,639.86575,1310.6875,1,1
expcal,4 X 4,491.70675,846.875,1,1
expcal,4 X 4,437.24475,671.1666667,1,1
expcal,4 X 4,594.3422308,1205.692308,1,1
expcal,4 X 4,552.0369091,1009.454545,0,1
expcal,4 X 4,569.8574667,1106.2,1,1
expcal,4 X 4,411.5024615,554.1538462,1,1
expcal,4 X 4,886.8095833,2094.416667,1,1
expcal,4 X 4,557.5124545,1006.909091,0,1
expcal,4 X 4,693.7834667,1426.8,1,1
expcal,4 X 4,468.0395385,699.1538462,1,1
expcal,4 X 4,396.5116667,462.8,1,1
expcal,4 X 4,405.3185714,471.5714286,1,2
expcal,4 X 4,1709.9725,4641.625,1,2
expcal,4 X 4,445.0552308,586.9230769,1,2
expcal,4 X 4,2336.930929,6489.428571,1,2
expcal,4 X 4,467.9613333,651.25,1,2
expcal,4 X 4,2815.1195,8148.375,1,2
expcal,4 X 4,1966.708467,5339.733333,1,2
expcal,4 X 4,1163.271273,2884.454545,0,2
expcal,4 X 4,2265.344083,6341.083333,1,2
expcal,4 X 4,1303.886273,3331.363636,0,2
expcal,4 X 4,451.3384286,532.5714286,1,2
expcal,4 X 4,2962.405643,8427,1,2
AB,4 X 4,424.8454286,1315.285714,1,2
AB,4 X 4,180.3882,513.2666667,1,2
